state,x,y
Goa,-215,-200
Himachal Pradesh,-123,228
Punjab,-167,197
Uttarakhand,-76,184
Haryana,-144,151
Uttar Pradesh,-35,92
Rajasthan,-207,85
Bihar,83,62
Sikkim,143,110
Arunachal Pradesh,288,133
Assam,248,78
Nagaland,286,72
Manipur,271,36
Mizoram,245,1
Tripura,216,10
Meghalaya,206,56
Jharkhand,63,6
West Bengal,124,-7
Chhattisgarh,-16,-51
Madhya Pradesh,-95,-1
Gujarat,-253,-5
Maharashtra,-154,-94
Telangana,-81,-132
Odisha,50,-68
Andhra Pradesh,-83,-210
Karnataka,-162,-220
Tamil Nadu,-93,-307
Kerala,-142,-322
